category,jobs,average_score,weak_jobs
Marine & Shipping,11,47.0,10
Hospitality & Hotel Jobs,1,73.0,1
Marine,2,76.0,2
HR & Recruitment,4,76.5,4
Engineering & Maintenance,31,77.8,18
Transport,3,78.3,3
IT,1,80.0,1
Management,2,80.0,2
Logistics,8,81.4,3
Administration,11,81.7,5
Hospitality,27,82.8,16
General,41,83.3,25
Wellness,4,84.5,2
Sales,13,84.7,6
Insurance,4,85.5,3
Finance & Accounting,16,86.2,6
Construction,1,88.0,0
Manufacturing Sector,1,89.0,0
IT & Technology,4,91.8,1
Healthcare,2,93.0,0
