title,url,problem
Driver License B,https://outreachrecruitment.net/jobs/driver-license-b,URL is unknown to Google
General Labourer,https://outreachrecruitment.net/jobs/general-labourer,Indexed page has zero impressions in selected GSC window
Tank Cleaner,https://outreachrecruitment.net/jobs/tank-cleaner,Indexed page has zero impressions in selected GSC window
Welder / Burner / Pipe Fitter,https://outreachrecruitment.net/jobs/welder-burner-pipe-fitter,URL Inspection API error: Network error: [Errno 54] Connection reset by peer
Welder / Burner / Pipe Fitter,https://outreachrecruitment.net/jobs/welder-burner-pipe-fitter,Target keyword not visible in top Search Console queries
Shipyard Sprayer / Painter,https://outreachrecruitment.net/jobs/shipyard-sprayer-painter,Target keyword not visible in top Search Console queries
Marine Carpenter,https://outreachrecruitment.net/jobs/marine-carpenter,Target keyword not visible in top Search Console queries
Electronic Technician,https://outreachrecruitment.net/jobs/electronic-technician,URL is unknown to Google
Commercial Divers,https://outreachrecruitment.net/jobs/commercial-divers,URL Inspection API error: Network error: [Errno 54] Connection reset by peer
Commercial Divers,https://outreachrecruitment.net/jobs/commercial-divers,Average position worse than 20 (24.5)
Commercial Divers,https://outreachrecruitment.net/jobs/commercial-divers,Target keyword not visible in top Search Console queries
Trailer Drivers,https://outreachrecruitment.net/jobs/trailer-drivers,Average position worse than 20 (52.0)
Trailer Drivers,https://outreachrecruitment.net/jobs/trailer-drivers,Target keyword not visible in top Search Console queries
Purchasing Manager,https://outreachrecruitment.net/jobs/purchasing-manager,Indexed page has zero impressions in selected GSC window
Quality Engineer,https://outreachrecruitment.net/jobs/quality-engineer,URL is unknown to Google
"Fleet, Tools and Facility Manager",https://outreachrecruitment.net/jobs/fleet-tools-and-facility-manager,URL is unknown to Google
Marine Turner,https://outreachrecruitment.net/jobs/marine-turner,URL is unknown to Google
Marine Mechanical Foreman,https://outreachrecruitment.net/jobs/marine-mechanical-foreman,URL Inspection API error: Network error: The read operation timed out
Plate Shop Foreman,https://outreachrecruitment.net/jobs/plate-shop-foreman,URL is unknown to Google
Administration Specialist,https://outreachrecruitment.net/jobs/administration-specialist,Indexed page has zero impressions in selected GSC window
Project Manager,https://outreachrecruitment.net/jobs/project-manager-2,URL is unknown to Google
Account Manager,https://outreachrecruitment.net/jobs/account-manager-2,URL is unknown to Google
Crew Concierge,https://outreachrecruitment.net/jobs/crew-concierge,URL is unknown to Google
Payables Finance Executive,https://outreachrecruitment.net/jobs/payables-finance-executive,Indexed page has zero impressions in selected GSC window
Housekeeper,https://outreachrecruitment.net/jobs/housekeeper-3,URL is unknown to Google
Assistant Executive Housekeeper,https://outreachrecruitment.net/jobs/assistant-executive-housekeeper,Indexed page has zero impressions in selected GSC window
QHSE Manager,https://outreachrecruitment.net/jobs/qhse-manager-malta,Indexed page has zero impressions in selected GSC window
Plumber,https://outreachrecruitment.net/jobs/plumber,Indexed page has zero impressions in selected GSC window
Welder,https://outreachrecruitment.net/jobs/welder,Target keyword not visible in top Search Console queries
Server (Spanish Speaker),https://outreachrecruitment.net/jobs/server-spanish-speaker,URL is unknown to Google
Plant Technician,https://outreachrecruitment.net/jobs/plant-technician,Indexed page has zero impressions in selected GSC window
"Application Developer (.NET, SharePoint) - Hybrid",https://outreachrecruitment.net/jobs/application-developer-net-sharepoint-hybrid,Not found (404)
"Application Developer (.NET, SharePoint) - Hybrid",https://outreachrecruitment.net/jobs/application-developer-net-sharepoint-hybrid,Page fetch state: NOT_FOUND
Sales Office Coordinator,https://outreachrecruitment.net/jobs/sales-office-coordinator,Indexed page has zero impressions in selected GSC window
Maintenance Technician,https://outreachrecruitment.net/jobs/maintenance-technician,Indexed page has zero impressions in selected GSC window
Assistance Co-ordinator,https://outreachrecruitment.net/jobs/assistance-co-ordinator,Target keyword not visible in top Search Console queries
Auditor Doctor,https://outreachrecruitment.net/jobs/auditor-doctor,Alternate page with proper canonical tag
Nurse Advisor,https://outreachrecruitment.net/jobs/nurse-advisor,Average position worse than 20 (28.7)
Nurse Advisor,https://outreachrecruitment.net/jobs/nurse-advisor,Target keyword not visible in top Search Console queries
Summer Waiter - Mellieha,https://outreachrecruitment.net/jobs/summer-waiter-mellieha,Alternate page with proper canonical tag
HR Administration Officer,https://outreachrecruitment.net/jobs/hr-administration-officer,Indexed page has zero impressions in selected GSC window
Purchasing Officer,https://outreachrecruitment.net/jobs/purchasing-officer,Indexed page has zero impressions in selected GSC window
Estimator,https://outreachrecruitment.net/jobs/estimator,URL is unknown to Google
HSSE Coordinator,https://outreachrecruitment.net/jobs/hsse-coordinator,Indexed page has zero impressions in selected GSC window
Restaurant Supervisor,https://outreachrecruitment.net/jobs/restaurant-supervisor,Alternate page with proper canonical tag
Chef de Partie,https://outreachrecruitment.net/jobs/chef-de-partie,Alternate page with proper canonical tag
Chef de Partie,https://outreachrecruitment.net/jobs/chef-de-partie,Target keyword not visible in top Search Console queries
Cleaner,https://outreachrecruitment.net/jobs/cleaner,Indexed page has zero impressions in selected GSC window
Assistant Pizza Chef,https://outreachrecruitment.net/jobs/assistant-pizza-chef,Alternate page with proper canonical tag
Production Chef,https://outreachrecruitment.net/jobs/production-chef,Alternate page with proper canonical tag
Runners,https://outreachrecruitment.net/jobs/runners,Target keyword not visible in top Search Console queries
Bar attendant,https://outreachrecruitment.net/jobs/bar-attendant,Target keyword not visible in top Search Console queries
Barista,https://outreachrecruitment.net/jobs/barista,Alternate page with proper canonical tag
Housekeeper,https://outreachrecruitment.net/jobs/housekeeper,Indexed page has zero impressions in selected GSC window
Food & Beverage Staff,https://outreachrecruitment.net/jobs/food-beverage-staff,Indexed page has zero impressions in selected GSC window
Compliance Manager,https://outreachrecruitment.net/jobs/compliance-manager,Indexed page has zero impressions in selected GSC window
Hairdresser,https://outreachrecruitment.net/jobs/hairdresser,Target keyword not visible in top Search Console queries
Pool Attendants,https://outreachrecruitment.net/jobs/pool-attendants,Alternate page with proper canonical tag
Head Chef,https://outreachrecruitment.net/jobs/head-chef,Indexed page has zero impressions in selected GSC window
Hospitality Staff – Malta,https://outreachrecruitment.net/jobs/hospitality-staff-malta,Indexed page has zero impressions in selected GSC window
Driver / Runner / Washer,https://outreachrecruitment.net/jobs/driver-runner-washer,Target keyword not visible in top Search Console queries
Level 2 Platform Ops Engineer,https://outreachrecruitment.net/jobs/level-2-platform-ops-engineer,Alternate page with proper canonical tag
Sales Shift Manager,https://outreachrecruitment.net/jobs/sales-shift-manager,Rich results verdict: FAIL
Sales Shift Manager,https://outreachrecruitment.net/jobs/sales-shift-manager,Indexed page has zero impressions in selected GSC window
Head of Spa,https://outreachrecruitment.net/jobs/head-of-spa,Indexed page has zero impressions in selected GSC window
Truck Driver - Residing in Malta,https://outreachrecruitment.net/jobs/truck-driver-residing-in-malta,Indexed page has zero impressions in selected GSC window
Senior Plant Technician – Hotel Operations & Maintenance,https://outreachrecruitment.net/jobs/senior-plant-technician-hotel-operations-maintenance,Alternate page with proper canonical tag
Sous Chef,https://outreachrecruitment.net/jobs/sous-chef,Rich results verdict: FAIL
Sous Chef,https://outreachrecruitment.net/jobs/sous-chef,Target keyword not visible in top Search Console queries
Driver – Category C License,https://outreachrecruitment.net/jobs/driver-category-c-license,Alternate page with proper canonical tag
Driver – Category C License,https://outreachrecruitment.net/jobs/driver-category-c-license,Target keyword not visible in top Search Console queries
Supervisor,https://outreachrecruitment.net/jobs/supervisor,Indexed page has zero impressions in selected GSC window
Cashier,https://outreachrecruitment.net/jobs/cashier,URL is unknown to Google
F&B Shift Leader,https://outreachrecruitment.net/jobs/fb-shift-leader,Alternate page with proper canonical tag
Senior IT Infrastructure Engineer,https://outreachrecruitment.net/jobs/senior-it-infrastructure-engineer,Alternate page with proper canonical tag
Marketing Administrator,https://outreachrecruitment.net/jobs/marketing-administrator,Alternate page with proper canonical tag
Accounts Executive,https://outreachrecruitment.net/jobs/accounts-executive,Indexed page has zero impressions in selected GSC window
Executive Operations Manager,https://outreachrecruitment.net/jobs/executive-operations-manager,Indexed page has zero impressions in selected GSC window
Kitchen Manager,https://outreachrecruitment.net/jobs/kitchen-manager,Indexed page has zero impressions in selected GSC window
Receptionist - Maltese Speaking,https://outreachrecruitment.net/jobs/receptionist-maltese-speaking,Target keyword not visible in top Search Console queries
NetSuite Specialist,https://outreachrecruitment.net/jobs/netsuite-specialist,Alternate page with proper canonical tag
HR Executive,https://outreachrecruitment.net/jobs/hr-executive,Average position worse than 20 (30.0)
HR Executive,https://outreachrecruitment.net/jobs/hr-executive,Target keyword not visible in top Search Console queries
Customer Operations Associate,https://outreachrecruitment.net/jobs/customer-operations-associate,Target keyword not visible in top Search Console queries
Structural Engineer,https://outreachrecruitment.net/jobs/structural-engineer,Average position worse than 20 (53.0)
Structural Engineer,https://outreachrecruitment.net/jobs/structural-engineer,Target keyword not visible in top Search Console queries
Customer Experience Supervisor,https://outreachrecruitment.net/jobs/customer-experience-supervisor,Indexed page has zero impressions in selected GSC window
Senior Quantity Estimator (M&E),https://outreachrecruitment.net/jobs/senior-quantity-estimator-me,URL is unknown to Google
Sales Representative in Renewables,https://outreachrecruitment.net/jobs/sales-representative-in-renewables,Rich results verdict: FAIL
Sales Representative in Renewables,https://outreachrecruitment.net/jobs/sales-representative-in-renewables,Indexed page has zero impressions in selected GSC window
HVAC Project Manager,https://outreachrecruitment.net/jobs/hvac-project-manager,Indexed page has zero impressions in selected GSC window
HVAC Sales Representative,https://outreachrecruitment.net/jobs/hvac-sales-representative,Alternate page with proper canonical tag
HVAC Sales Representative,https://outreachrecruitment.net/jobs/hvac-sales-representative,Target keyword not visible in top Search Console queries
Maintenance Technician - Electrical Licence A or B),https://outreachrecruitment.net/jobs/maintenance-technician-electrical-licence-a-or-b,Rich results verdict: FAIL
Maintenance Technician - Electrical Licence A or B),https://outreachrecruitment.net/jobs/maintenance-technician-electrical-licence-a-or-b,Indexed page has zero impressions in selected GSC window
Sales Executive,https://outreachrecruitment.net/jobs/sales-executive,Alternate page with proper canonical tag
Head Chef - Maltese Cuisine,https://outreachrecruitment.net/jobs/head-chef-maltese-cuisine,Rich results verdict: FAIL
Head Chef - Maltese Cuisine,https://outreachrecruitment.net/jobs/head-chef-maltese-cuisine,Indexed page has zero impressions in selected GSC window
Marketing Assistant,https://outreachrecruitment.net/jobs/marketing-assistant,Indexed page has zero impressions in selected GSC window
IT Support Executive,https://outreachrecruitment.net/jobs/it-support-executive,Indexed page has zero impressions in selected GSC window
Commis,https://outreachrecruitment.net/jobs/commis,Alternate page with proper canonical tag
Labourer Mechanic,https://outreachrecruitment.net/jobs/labourer-mechanic,Alternate page with proper canonical tag
Electrician Installer,https://outreachrecruitment.net/jobs/electrician-installer,Indexed page has zero impressions in selected GSC window
Plumbers,https://outreachrecruitment.net/jobs/plumbers,Target keyword not visible in top Search Console queries
General Maintenance Technician,https://outreachrecruitment.net/jobs/general-maintenance-technician,Rich results verdict: FAIL
General Maintenance Technician,https://outreachrecruitment.net/jobs/general-maintenance-technician,Indexed page has zero impressions in selected GSC window
Spa Therapist,https://outreachrecruitment.net/jobs/spa-therapist,Indexed page has zero impressions in selected GSC window
Front Office Assistant,https://outreachrecruitment.net/jobs/front-office-assistant,Target keyword not visible in top Search Console queries
Kitchen Assistant - Chinese Cuisine,https://outreachrecruitment.net/jobs/kitchen-assistant-chinese-cuisine,Rich results verdict: FAIL
Kitchen Assistant - Chinese Cuisine,https://outreachrecruitment.net/jobs/kitchen-assistant-chinese-cuisine,Indexed page has zero impressions in selected GSC window
Head Chef - Chinese Cuisine,https://outreachrecruitment.net/jobs/head-chef-chinese-cuisine,Alternate page with proper canonical tag
Showroom Sales Executive,https://outreachrecruitment.net/jobs/showroom-sales-executive,Rich results verdict: FAIL
Showroom Sales Executive,https://outreachrecruitment.net/jobs/showroom-sales-executive,Indexed page has zero impressions in selected GSC window
Bartender,https://outreachrecruitment.net/jobs/bartender,Target keyword not visible in top Search Console queries
Housekeeping supervisor,https://outreachrecruitment.net/jobs/housekeeping-supervisor,Indexed page has zero impressions in selected GSC window
Counter assistant,https://outreachrecruitment.net/jobs/counter-assistant,Target keyword not visible in top Search Console queries
Kitchen Assistant,https://outreachrecruitment.net/jobs/kitchen-assistant,Indexed page has zero impressions in selected GSC window
Building Services Maintenance Helper,https://outreachrecruitment.net/jobs/building-services-maintenance-helper,Indexed page has zero impressions in selected GSC window
Client Accountant,https://outreachrecruitment.net/jobs/client-accountant,Alternate page with proper canonical tag
Client Accountant,https://outreachrecruitment.net/jobs/client-accountant,Average position worse than 20 (24.0)
Client Accountant,https://outreachrecruitment.net/jobs/client-accountant,Target keyword not visible in top Search Console queries
Housekeeping Attendant,https://outreachrecruitment.net/jobs/housekeeping-attendant,Indexed page has zero impressions in selected GSC window
Middle Officer - (Asset Management),https://outreachrecruitment.net/jobs/middle-officer-asset-management,Indexed page has zero impressions in selected GSC window
Front Office Supervisor,https://outreachrecruitment.net/jobs/front-office-supervisor,URL is unknown to Google
Bartender & Front Office Agent,https://outreachrecruitment.net/jobs/bartender-front-office-agent,Alternate page with proper canonical tag
Bartender & Front Office Agent,https://outreachrecruitment.net/jobs/bartender-front-office-agent,Average position worse than 20 (24.5)
Bartender & Front Office Agent,https://outreachrecruitment.net/jobs/bartender-front-office-agent,Target keyword not visible in top Search Console queries
Senior Sales & Marketing Executive - Airline Industry,https://outreachrecruitment.net/jobs/senior-sales-marketing-executive-airline-industry,Indexed page has zero impressions in selected GSC window
Head Chef - Greek Cuisine,https://outreachrecruitment.net/jobs/head-chef-greek-cuisine,Indexed page has zero impressions in selected GSC window
Sales Manager,https://outreachrecruitment.net/jobs/sales-manager,Indexed page has zero impressions in selected GSC window
IT Systems Executive,https://outreachrecruitment.net/jobs/it-systems-executive,Indexed page has zero impressions in selected GSC window
Social Media Executive,https://outreachrecruitment.net/jobs/social-media-executive,Indexed page has zero impressions in selected GSC window
Maintenance Manager,https://outreachrecruitment.net/jobs/maintenance-manager,Indexed page has zero impressions in selected GSC window
Chefs,https://outreachrecruitment.net/jobs/chefs,Average position worse than 20 (21.0)
Chefs,https://outreachrecruitment.net/jobs/chefs,Target keyword not visible in top Search Console queries
Accounts Payable,https://outreachrecruitment.net/jobs/accounts-payable,Indexed page has zero impressions in selected GSC window
Payroll Executive,https://outreachrecruitment.net/jobs/payroll-executive,Alternate page with proper canonical tag
Quantity Surveyor,https://outreachrecruitment.net/jobs/quantity-surveyor,Rich results verdict: FAIL
Quantity Surveyor,https://outreachrecruitment.net/jobs/quantity-surveyor,Indexed page has zero impressions in selected GSC window
