title,url,eligible,issue
Trailer Drivers,https://outreachrecruitment.net/jobs/trailer-drivers,True,
Payables Finance Executive,https://outreachrecruitment.net/jobs/payables-finance-executive,True,
Marine Turner,https://outreachrecruitment.net/jobs/marine-turner-malta,True,
Marine Mechanical Foreman,https://outreachrecruitment.net/jobs/marine-mechanical-foreman-malta,True,
Plate Shop Foreman,https://outreachrecruitment.net/jobs/plate-shop-foreman-malta,True,
Application Developer (Drupal),https://outreachrecruitment.net/jobs/application-developer-drupal,True,
"Fleet, Tools and Facility Manager",https://outreachrecruitment.net/jobs/fleet-tools-facility-manager,True,
Purchasing Manager,https://outreachrecruitment.net/jobs/purchasing-manager,True,
Quality Engineer,https://outreachrecruitment.net/jobs/quality-engineer-marine-malta,True,
Crew Concierge,https://outreachrecruitment.net/jobs/crew-concierge-malta,True,
QHSE Manager,https://outreachrecruitment.net/jobs/qhse-manager-malta,True,
Plumber,https://outreachrecruitment.net/jobs/plumber,True,
Welder,https://outreachrecruitment.net/jobs/welder,True,
Server (Spanish Speaker),https://outreachrecruitment.net/jobs/server-spanish-speaker,True,
Plant Technician,https://outreachrecruitment.net/jobs/plant-technician,True,
"Application Developer (.NET, SharePoint) - Hybrid",https://outreachrecruitment.net/jobs/application-developer-net-sharepoint-hybrid,True,
Sales Office Coordinator,https://outreachrecruitment.net/jobs/sales-office-coordinator,True,
Maintenance Technician,https://outreachrecruitment.net/jobs/maintenance-technician,True,
Assistance Co-ordinator,https://outreachrecruitment.net/jobs/assistance-co-ordinator,True,
Customer Contact Agent,https://outreachrecruitment.net/jobs/customer-contact-agent,True,
Auditor Doctor,https://outreachrecruitment.net/jobs/auditor-doctor,True,
Nurse Advisor,https://outreachrecruitment.net/jobs/nurse-advisor,True,
Summer Waiter - Mellieha,https://outreachrecruitment.net/jobs/summer-waiter-mellieha,True,
HR Administration Officer,https://outreachrecruitment.net/jobs/hr-administration-officer,True,
Project Manager,https://outreachrecruitment.net/jobs/project-manager,True,
Purchasing Officer,https://outreachrecruitment.net/jobs/purchasing-officer,True,
Estimator,https://outreachrecruitment.net/jobs/estimator,True,
HSSE Coordinator,https://outreachrecruitment.net/jobs/hsse-coordinator,True,
Restaurant Supervisor,https://outreachrecruitment.net/jobs/restaurant-supervisor,True,
Kitchen Porter,https://outreachrecruitment.net/jobs/kitchen-porter,True,
Chef de Partie,https://outreachrecruitment.net/jobs/chef-de-partie,True,
Contact Centre Team Leader,https://outreachrecruitment.net/jobs/contact-centre-team-leader,True,
Cleaner,https://outreachrecruitment.net/jobs/cleaner,True,
Assistant Pizza Chef,https://outreachrecruitment.net/jobs/assistant-pizza-chef,True,
Production Chef,https://outreachrecruitment.net/jobs/production-chef,True,
Runners,https://outreachrecruitment.net/jobs/runners,True,
Bar attendant,https://outreachrecruitment.net/jobs/bar-attendant,True,
Barista,https://outreachrecruitment.net/jobs/barista,True,
Housekeeper,https://outreachrecruitment.net/jobs/housekeeper,True,
Outlet Manager,https://outreachrecruitment.net/jobs/outlet-manager,True,
Food & Beverage Staff,https://outreachrecruitment.net/jobs/food-beverage-staff,True,
Compliance Manager,https://outreachrecruitment.net/jobs/compliance-manager,True,
Hairdresser,https://outreachrecruitment.net/jobs/hairdresser,True,
Pool Attendants,https://outreachrecruitment.net/jobs/pool-attendants,True,
Head Chef,https://outreachrecruitment.net/jobs/head-chef,True,
Hospitality Staff – Malta,https://outreachrecruitment.net/jobs/hospitality-staff-malta,True,
Driver / Runner / Washer,https://outreachrecruitment.net/jobs/driver-runner-washer,True,
Level 2 Platform Ops Engineer,https://outreachrecruitment.net/jobs/level-2-platform-ops-engineer,True,
Sales Shift Manager,https://outreachrecruitment.net/jobs/sales-shift-manager,True,
Head of Spa,https://outreachrecruitment.net/jobs/head-of-spa,True,
Truck Driver - Residing in Malta,https://outreachrecruitment.net/jobs/truck-driver-residing-in-malta,True,
Senior Plant Technician – Hotel Operations & Maintenance,https://outreachrecruitment.net/jobs/senior-plant-technician-hotel-operations-maintenance,True,
Sous Chef,https://outreachrecruitment.net/jobs/sous-chef,True,
Driver – Category C License,https://outreachrecruitment.net/jobs/driver-category-c-license,True,
Supervisor,https://outreachrecruitment.net/jobs/supervisor,True,
Cashier,https://outreachrecruitment.net/jobs/cashier,True,
F&B Shift Leader,https://outreachrecruitment.net/jobs/fb-shift-leader,True,
Technical Systems Analyst,https://outreachrecruitment.net/jobs/technical-systems-analyst,True,
Senior IT Infrastructure Engineer,https://outreachrecruitment.net/jobs/senior-it-infrastructure-engineer,True,
Marketing Administrator,https://outreachrecruitment.net/jobs/marketing-administrator,True,
Accounts Executive,https://outreachrecruitment.net/jobs/accounts-executive,True,
Retail Sales Associate,https://outreachrecruitment.net/jobs/retail-sales-associate,True,
Executive Operations Manager,https://outreachrecruitment.net/jobs/executive-operations-manager,True,
Kitchen Manager,https://outreachrecruitment.net/jobs/kitchen-manager,True,
Receptionist - Maltese Speaking,https://outreachrecruitment.net/jobs/receptionist-maltese-speaking,True,
NetSuite Specialist,https://outreachrecruitment.net/jobs/netsuite-specialist,True,
HR Executive,https://outreachrecruitment.net/jobs/hr-executive,True,
Customer Operations Associate,https://outreachrecruitment.net/jobs/customer-operations-associate,True,
Structural Engineer,https://outreachrecruitment.net/jobs/structural-engineer,True,
Customer Experience Supervisor,https://outreachrecruitment.net/jobs/customer-experience-supervisor,True,
Senior Quantity Estimator (M&E),https://outreachrecruitment.net/jobs/senior-quantity-estimator-me,True,
Sales Representative in Renewables,https://outreachrecruitment.net/jobs/sales-representative-in-renewables,True,
HVAC Project Manager,https://outreachrecruitment.net/jobs/hvac-project-manager,True,
HVAC Sales Representative,https://outreachrecruitment.net/jobs/hvac-sales-representative,True,
Maintenance Technician - Electrical Licence A or B),https://outreachrecruitment.net/jobs/maintenance-technician-electrical-licence-a-or-b,True,
Sales Executive,https://outreachrecruitment.net/jobs/sales-executive,True,
Head Chef - Maltese Cuisine,https://outreachrecruitment.net/jobs/head-chef-maltese-cuisine,True,
Marketing Assistant,https://outreachrecruitment.net/jobs/marketing-assistant,True,
IT Support Executive,https://outreachrecruitment.net/jobs/it-support-executive,True,
Commis,https://outreachrecruitment.net/jobs/commis,True,
Labourer Mechanic,https://outreachrecruitment.net/jobs/labourer-mechanic,True,
Electrician Installer,https://outreachrecruitment.net/jobs/electrician-installer,True,
Plumbers,https://outreachrecruitment.net/jobs/plumbers,True,
General Maintenance Technician,https://outreachrecruitment.net/jobs/general-maintenance-technician,True,
Spa Therapist,https://outreachrecruitment.net/jobs/spa-therapist,True,
Front Office Assistant,https://outreachrecruitment.net/jobs/front-office-assistant,True,
Kitchen Assistant - Chinese Cuisine,https://outreachrecruitment.net/jobs/kitchen-assistant-chinese-cuisine,True,
Head Chef - Chinese Cuisine,https://outreachrecruitment.net/jobs/head-chef-chinese-cuisine,True,
Showroom Sales Executive,https://outreachrecruitment.net/jobs/showroom-sales-executive,True,
Bartender,https://outreachrecruitment.net/jobs/bartender,True,
Housekeeping supervisor,https://outreachrecruitment.net/jobs/housekeeping-supervisor,True,
Counter assistant,https://outreachrecruitment.net/jobs/counter-assistant,True,
Kitchen Assistant,https://outreachrecruitment.net/jobs/kitchen-assistant,True,
Heavy Machine Operator,https://outreachrecruitment.net/jobs/heavy-machine-operator,True,
Building Services Maintenance Helper,https://outreachrecruitment.net/jobs/building-services-maintenance-helper,True,
Client Accountant,https://outreachrecruitment.net/jobs/client-accountant,True,
Housekeeping Attendant,https://outreachrecruitment.net/jobs/housekeeping-attendant,True,
Handyman,https://outreachrecruitment.net/jobs/handyman,True,
Middle Officer - (Asset Management),https://outreachrecruitment.net/jobs/middle-officer-asset-management,True,
Front Office Supervisor,https://outreachrecruitment.net/jobs/front-office-supervisor,True,
Bartender & Front Office Agent,https://outreachrecruitment.net/jobs/bartender-front-office-agent,True,
Senior Sales & Marketing Executive - Airline Industry,https://outreachrecruitment.net/jobs/senior-sales-marketing-executive-airline-industry,True,
Head Chef - Greek Cuisine,https://outreachrecruitment.net/jobs/head-chef-greek-cuisine,True,
Sales Manager,https://outreachrecruitment.net/jobs/sales-manager,True,
IT Systems Executive,https://outreachrecruitment.net/jobs/it-systems-executive,True,
Social Media Executive,https://outreachrecruitment.net/jobs/social-media-executive,True,
Maintenance Manager,https://outreachrecruitment.net/jobs/maintenance-manager,True,
Chefs,https://outreachrecruitment.net/jobs/chefs,True,
Accounts Payable,https://outreachrecruitment.net/jobs/accounts-payable,True,
Payroll Executive,https://outreachrecruitment.net/jobs/payroll-executive,True,
Quantity Surveyor,https://outreachrecruitment.net/jobs/quantity-surveyor,True,
Head Housekeeper,https://outreachrecruitment.net/jobs/head-housekeeper,True,
QA Manager - Construction,https://outreachrecruitment.net/jobs/qa-manager-construction,True,
Quality Assurance Officer/Engineer,https://outreachrecruitment.net/jobs/quality-assurance-officerengineer,True,
Tax Manager,https://outreachrecruitment.net/jobs/tax-manager,True,
Client Accounting Manager,https://outreachrecruitment.net/jobs/client-accounting-manager,True,
Skilled Worker for Outdoor & Civil Works,https://outreachrecruitment.net/jobs/skilled-worker-for-outdoor-civil-works,True,
Project Manager - Construction,https://outreachrecruitment.net/jobs/project-manager-construction,True,
Sushi Chef,https://outreachrecruitment.net/jobs/sushi-chef,True,
Reservations Agent,https://outreachrecruitment.net/jobs/reservations-agent,True,
"Airline Sales, Reservations, and Ticketing Officer",https://outreachrecruitment.net/jobs/airline-sales-reservations-and-ticketing-officer,True,
Account Manager,https://outreachrecruitment.net/jobs/account-manager,True,
Italian/Swedish Sales Team Leader,https://outreachrecruitment.net/jobs/italianswedish-sales-team-leader,True,
Italian/Swedish Retention Team Leader,https://outreachrecruitment.net/jobs/italianswedish-retention-team-leader,True,
Italian Media Buyer,https://outreachrecruitment.net/jobs/italian-media-buyer,True,
Sales Assistant Manager,https://outreachrecruitment.net/jobs/sales-assistant-manager,True,
Automotive Service Advisor,https://outreachrecruitment.net/jobs/automotive-service-advisor,True,
Sales Executive B2B,https://outreachrecruitment.net/jobs/sales-executive-b2b,True,
Construction Site Foreman,https://outreachrecruitment.net/jobs/construction-site-foreman,True,
High Voltage Motor Vehicle Technician,https://outreachrecruitment.net/jobs/high-voltage-motor-vehicle-technician,True,
Sales Engineer,https://outreachrecruitment.net/jobs/sales-engineer,True,
Logistics Officer,https://outreachrecruitment.net/jobs/logistics-officer,True,
Front Office Agent,https://outreachrecruitment.net/jobs/front-office-agent,True,
Sommeliers & Junior Sommeliers,https://outreachrecruitment.net/jobs/sommeliers-junior-sommeliers,True,
Room Attendants,https://outreachrecruitment.net/jobs/room-attendants,True,
Bartenders,https://outreachrecruitment.net/jobs/bartenders,True,
Hostess,https://outreachrecruitment.net/jobs/hostess,True,
Junior Cooks,https://outreachrecruitment.net/jobs/junior-cooks,True,
Marketing Manager,https://outreachrecruitment.net/jobs/marketing-manager,True,
Financial controller,https://outreachrecruitment.net/jobs/financial-controller,True,
Cost Controller,https://outreachrecruitment.net/jobs/cost-controller,True,
Pastry Commis Chef,https://outreachrecruitment.net/jobs/pastry-commis-chef,True,
Steward,https://outreachrecruitment.net/jobs/steward,True,
F&B Server,https://outreachrecruitment.net/jobs/fb-server,True,
Bar Manager,https://outreachrecruitment.net/jobs/bar-manager,True,
General Manager,https://outreachrecruitment.net/jobs/general-manager,True,
