title,url,issue
Electronic Technician,https://outreachrecruitment.net/jobs/electronic-technician,Meta description too long (166 chars)
Welder / Burner / Pipe Fitter,https://outreachrecruitment.net/jobs/welder-burner-pipe-fitter,Meta description too long (187 chars)
Tank Cleaner,https://outreachrecruitment.net/jobs/tank-cleaner,Meta description too long (175 chars)
Maintenance Technician - Electrical Licence A or B),https://outreachrecruitment.net/jobs/maintenance-technician-electrical-licence-a-or-b,Meta title too long (68 chars)
Client Accountant,https://outreachrecruitment.net/jobs/client-accountant-2,Meta description too short (39 chars)
Front Office Supervisor,https://outreachrecruitment.net/jobs/front-office-supervisor-2,Meta description too short (53 chars)
Senior Sales & Marketing Executive - Airline Industry,https://outreachrecruitment.net/jobs/senior-sales-marketing-executive-airline-industry,Meta title too long (70 chars)
Skilled Worker for Outdoor & Civil Works,https://outreachrecruitment.net/jobs/skilled-worker-for-outdoor-civil-works,Meta title too long (67 chars)
Italian/Swedish Sales Team Leader,https://outreachrecruitment.net/jobs/italianswedish-sales-team-leader,Meta title too long (69 chars)
Assistant Laboratory Manager - Construction Materials,https://outreachrecruitment.net/jobs/assistant-laboratory-manager-construction-materials,Meta title too long (67 chars)
Electrician or Instrumentation Technician (Licence A),https://outreachrecruitment.net/jobs/electrician-or-instrumentation-technician-licence-a,Meta title too long (68 chars)
